wallet_address,total_volume_usd,total_pnl_usd,total_trades,median_trade_usd,top5_volume_usd,pnl_0_3mo,pnl_3_6mo,pnl_6_9mo,pnl_9_12mo,profitable_categories,primary_category,total_markets,win_rate
0xd91a5e5a35150b26e52e9403e086c58a7e4a4f27,85000000.0,48000000.0,847,45000.0,42000000.0,2000000.0,5000000.0,15000000.0,26000000.0,2,Politics,23,78.3
0xbot_arb_example,12000000.0,180000.0,95000,42.0,85000.0,60000.0,50000.0,40000.0,30000.0,1,Crypto,2400,52.1
0xgraveyard_example,3500000.0,-890000.0,156,12000.0,1200000.0,-340000.0,-280000.0,-170000.0,-100000.0,0,Politics,34,23.5
0xc7910a3ce26ef441b664efbda64b1be2a488fe86,392828.9,55712.83,5,66133.8,35141.95,29061.57,17365.41,6591.62,2694.23,3,Culture,130,19.2
0x51f518794b21a71ddeef89bfa809b8fc7f60ee28,1209.46,5239.46,1,661.46,637.38,1066.79,3535.88,402.14,234.65,5,Politics,351,28.4
0x780987e95c6c350b8559546957295ebc66bd1b0e,4427.72,32216.8,24,110.97,1582.82,16375.37,4527.53,7166.09,4147.81,3,Politics,296,31.5
0xb994d19895780bb001966b998530a4a8d78de987,77317.9,58606.34,2060,28.22,33064.42,17414.96,22948.57,11669.76,6573.06,0,Macro,453,61.8
0x8d8d5bf417cb2e7bb58ff8dd852420d6d48df3f2,31809.33,-24987.32,104,124.64,13448.59,-11913.18,-5595.69,-7436.19,-42.26,2,Culture,150,20.6
0x45272dd0a3c58e68e6be7b9bff585c8ebb8956e5,57895.66,65499.85,23,1688.87,905.49,28095.09,11744.3,12925.7,12734.76,4,Culture,497,53.0
0x04528994693992ecc0537128781055ac735a3334,10871.63,35307.41,109,71.23,2423.19,19598.53,2437.1,8181.66,5090.11,3,Macro,185,66.2
0x1634be721d570180870b2fb5f0d9952610c426d3,347595.93,-93785.05,5,63898.73,97904.21,-42976.0,-6488.04,-28856.23,-15464.78,1,Sports,358,34.4
0x1e2c2255e88e4c9d5c00c631841acece991fa63b,283674.82,120384.38,34,4726.03,70810.29,63693.44,24066.71,18755.36,13868.87,1,Sports,199,29.2
0xe5e01b9a0a19d1cd91e5a0c5e0d54558a865ddad,68327.08,-35059.58,63,739.54,15955.24,-8332.31,-24201.97,-2486.78,-38.52,3,Crypto,336,47.9
0xd2816824a510f554d23380a01e830fe43a8f567f,570622.08,-127407.63,47,7529.7,271636.53,-19558.54,-67965.78,-22437.78,-17445.52,2,Sports,168,50.3
0xa08bab40b73e669da6517d5219703eaba460ca05,152515.07,-78603.5,178,649.51,5606.98,-34369.7,-30935.18,-1280.19,-12018.42,3,Crypto,421,38.3
0x19d1f6dd7141e082c0f21318f5788f9ccb623273,10736.61,-76683.61,91,47.59,3442.31,-25486.9,-25230.66,-16955.34,-9010.71,2,Politics,319,53.0
0x6b0029aa368fb3a341546b6337182048c00638e9,125179.2,9173.87,148,297.19,39371.52,5597.3,1490.82,860.18,1225.56,2,Sports,145,63.1
0x9ac8fe76d10168a9165bb878452a4e99d4b22abb,8797.6,-16908.04,19,244.29,2960.65,-7319.54,-4207.34,-2172.47,-3208.7,3,Culture,480,28.1
0x7cc66aa9f3bbbacc645288cca5e579ca144bd278,346937.73,-21946.56,209,749.57,123046.18,-12228.58,-6706.87,-1315.99,-1695.11,0,Macro,354,77.7
0x7545072c7483ed42632f3dd3449b41719e92bfd6,54184.39,54576.16,628,31.86,24193.4,22863.35,17974.52,6870.44,6867.84,2,Politics,214,36.4
0x00a7bc0807e9b3f2c8ae40f797941fae0b0ab14e,41368.51,32190.03,12,1150.11,11369.98,13886.83,8949.66,4349.74,5003.8,2,Sports,68,35.5
0xfa7504cb3ae8b46af89f53ebfd92861ce203cdd1,15338.8,30283.83,14,509.66,387.5,8376.18,6797.44,14892.26,217.96,4,Sports,486,51.6
0xea7720e1eb0c6e1f351a624a083f78fe2a46f36f,690438.84,37786.28,404,619.76,50940.51,7866.52,17206.46,6588.29,6125.01,4,Sports,377,42.1
0x6cccd7d5eae80833cebdb2b05604d52aba735d88,43955.85,54290.77,40,392.61,13647.31,11759.25,20674.63,14911.69,6945.2,2,Macro,334,62.3
0xca96d4bb6784d072eea73f500225483e86f71351,25421.34,-163636.27,448,22.33,7127.48,-55076.81,-94660.17,-4460.63,-9438.66,1,Culture,416,23.9
0x8577f1b3926d44f386872721cf023dc61937c663,29606.02,-24155.06,28,582.87,6165.66,-5495.41,-12457.0,-3184.23,-3018.42,1,Macro,303,67.0
0x049ca0f8e69515263c093d670b411303cd8e54f7,173618.97,-169416.81,484,366.58,66078.12,-41822.49,-79849.17,-43267.21,-4477.94,1,Crypto,116,55.4
0x088a8dba79582e19f3b7b63c74805377a41a6f38,124354.06,7884.79,66,2257.09,17019.76,3202.03,1104.33,2969.66,608.77,1,Politics,119,4.1
0x649dab5f70ea4bed009080501ddf71d6bfebc2ff,136689.23,4629.36,80,923.66,17823.82,1687.93,1982.45,589.82,369.16,4,Politics,40,47.4
0xe7be34836328bfb86613ba53657fe473f4275e00,141724.74,88642.58,570,131.73,49762.39,34889.14,36502.36,17181.26,69.83,0,Culture,32,34.4
0x70d8add69942afd13494ddb3458def3c60e19de9,4339610.7,100010.75,31,82530.17,1100612.86,56737.51,28592.36,9863.27,4817.62,0,Macro,364,47.5
0x1188f0a7e82691f1ad215b392bdb1a7874d0c980,26560.22,21222.0,13,996.65,11774.8,16129.45,1925.4,2542.13,625.02,3,Crypto,426,21.9
0xc63940c27f34205008c54213df8272896e8ec1fa,21493.69,-35028.89,27,395.12,2723.22,-14202.25,-9966.74,-10550.92,-308.98,1,Crypto,82,61.2
0x943070c1eee5acb57927f21f8ac79438ba025885,11759.94,43812.89,107,41.62,3736.61,19364.41,12079.54,8118.43,4250.5,4,Culture,287,67.4
0xe94b3879341c27a6658ff048b6310923b06b39f1,205244.83,-37233.41,5,39506.41,57524.34,-13337.93,-9503.63,-9589.65,-4802.2,4,Culture,62,26.7
0x1465c0fc34759ee182f6ce653e3fe3ee322b1aa6,572601.1,4888.59,142,3112.88,155471.97,1135.41,986.95,1038.32,1727.9,4,Politics,207,47.2
0x8f39e5e8d6e474b4704255ed62e89c6d13b9cad7,47672.27,83890.91,24,780.61,4972.74,32984.19,27688.57,6915.67,16302.48,2,Sports,395,46.7
0x75594deb989475ce8cfd720036d5c2721f95399c,11155.49,-39621.71,305,13.72,2633.0,-20767.4,-12517.97,-6084.2,-252.14,2,Politics,406,30.7
0x42417cd1be1c8e5b88d06e917f903dcd2c6cfa9c,11510.76,69454.29,1,3851.54,2472.0,18860.49,7149.78,30406.17,13037.85,2,Sports,474,39.4
0x48e79a318e92dd41d5716a8a3979f47ac734ea4b,219956.61,59192.11,16,5053.39,29327.46,21316.09,8367.23,16876.47,12632.31,1,Macro,155,42.0
0x9e1336aacab1eab2dfdcbf51f66ac37800c0d159,264741.28,-71383.35,4,23999.51,67074.14,-19230.16,-43847.29,-6304.52,-2001.37,3,Sports,474,32.4
0x3dd429fcd44463370fe1663e167c1d038b19cde8,177425.94,82911.53,15,7930.19,20919.47,33099.53,17078.74,20257.81,12475.45,5,Politics,392,63.7
0x8406c0c5164ebb25f68d1ffae86689f0db15720d,15819.21,60885.31,79,118.93,6998.96,15778.48,14709.83,21838.71,8558.29,1,Crypto,169,40.3
0xf438e38cbe3b70626e65b1275616b36accc39376,95255.94,13154.07,41,1671.71,15582.94,5256.62,4439.75,3050.94,406.77,0,Crypto,164,52.6
0x59a5863d17fc63f649c060b0449ce900016e7adc,75612.1,-55985.88,37,957.69,20402.04,-23813.23,-21132.21,-10378.85,-661.59,3,Macro,54,46.2
0x3af5935f529536e180a7d37472433df53defddf6,92723.5,-63736.48,43,752.56,17689.77,-10960.81,-45393.33,-7241.35,-140.98,2,Politics,460,25.4
0xf1b0b1f8a5f63df24bdbb3ec04da0fc105d3ca8e,342099.72,-38013.01,74,2966.85,20307.5,-8051.67,-17802.71,-9394.15,-2764.48,4,Sports,102,53.0
0x5abc00f25f2206b1eb9068501253d80efca41e68,93637.96,48407.56,12,3852.65,44629.04,11738.92,30273.17,5072.18,1323.29,5,Macro,134,37.7
0x8e6b22544cb321855aeb9ca1577189377da77803,232774.89,-71450.01,157,1021.2,27655.07,-40269.71,-5741.9,-16920.44,-8517.96,5,Macro,207,68.8
0x9cc29fd28b8a123188720c7e817b23f2cf888b4b,68539.0,40000.98,147,397.3,17487.42,22687.36,2162.66,12542.18,2608.78,2,Culture,69,52.9
0xcf1911bacf2cbac3c93c0cea865d98cee7cba451,106749.35,-94340.44,97,895.15,19135.19,-38640.17,-13247.22,-30299.77,-12153.28,5,Culture,403,77.2
0xa64ebcb15da158f970596d7f5110764f2adb85b9,211626.13,-11325.49,125,1825.39,101992.39,-7398.23,-2731.64,-845.8,-349.82,0,Culture,349,70.4
